run_id,robot,variant,mode,start_time,end_time,status,exit_code,metrics_path,traj_path,log_path
20260819_R001,arm,baseline,baseline,2026-08-19T17:23:44+08:00,2026-08-19T17:24:37+08:00,ok,0,/home/sun/LLL/catkin_ws/src/stsm_madp/results/runs/20260819_R001/arm/baseline/metrics.csv,/home/sun/LLL/catkin_ws/src/stsm_madp/results/runs/20260819_R001/arm/baseline/traj.csv,/home/sun/LLL/catkin_ws/src/stsm_madp/results/runs/20260819_R001/arm/baseline/ros.log
20260819_R001,arm,stsm,stsm,2026-08-19T17:24:39+08:00,2026-08-19T17:26:57+08:00,ok,0,/home/sun/LLL/catkin_ws/src/stsm_madp/results/runs/20260819_R001/arm/stsm/metrics.csv,/home/sun/LLL/catkin_ws/src/stsm_madp/results/runs/20260819_R001/arm/stsm/traj.csv,/home/sun/LLL/catkin_ws/src/stsm_madp/results/runs/20260819_R001/arm/stsm/ros.log
