t,mode,variant,target,phase,x,y,z,phi_prox,phi_close,phi_dir,phi_body,phi_env,phi_total,vx,vy,vz,speed_raw,speed_filtered,dt_used,velocity_valid,gate_state,gate_scale,gate_stop,gate_reason,adp_value,adp_delta,adp_enabled,selected_corridor_label,selected_corridor_type,corridor_id,execution_corridor_id,path_adp_mean,path_adp_max,path_adp_delta,adp_path_enabled,protected_saddle_count,protected_saddle_max_dist,protected_saddle_ok,mandatory_topology_node_count,mandatory_saddle_reached,mandatory_saddle_max_dist,corridor_violation_count,topology_tracking_error,mpc_segment_count,arm_adp_grad_norm,arm_adp_soft_cost,arm_v_adp_alignment,phi_ee_point,phi_wrist,phi_elbow,phi_object,phi_arm_max_point,phi_arm_mean_point,arm_interest_gate_risk,arm_interest_gate_scale,yaw,phi_center,phi_max_point,phi_mean_point,forbidden_hit,footprint_gate_risk,footprint_gate_scale,footprint_gate_stop
20.642,baseline,baseline,arm,0,-7.6161739270639908e-06,-4.5065229544748484e-06,0.93899999994633943,0.41110515408869536,0.0,0.19733047396257378,7.507860545502467e-07,0.00041929240575739837,0.608855671243081,1.2100470675062e-19,-1.6133960900082665e-19,0.0,2.016745112510333e-19,7.058607893786166e-20,0.04199999999999804,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,0.6088556712430812,0.6120672694878456,0.6989573476007784,0.6093086447894551,0.6989573476007784,0.6322972332802901,0.6989573476007784,1.0,,,,,,,,
20.701,baseline,baseline,arm,0,-7.616173927490765e-06,-4.5065229544748179e-06,0.93899999994633943,0.41110515408869497,0.0,0.19733047396257358,7.507860545502386e-07,0.0004192924057573976,0.6088556712430805,-5.542521588860787e-15,3.9601540391109255e-19,0.0,5.542521603008517e-15,1.9398550302069108e-15,0.07700000000000173,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,0.6088556712430806,0.6120672694878453,0.6989573476007784,0.6093086447894546,0.6989573476007784,0.6322972332802896,0.6989573476007784,1.0,,,,,,,,
20.802,baseline,baseline,arm,0,0.00024483273855849193,-4.5222610967195894e-06,0.9389999573841955,0.41134172872493213,0.0,0.1974440297879674,7.553888649600245e-07,0.00041971608656149744,0.609206229988326,0.0024273933892883133,-1.513282908151122e-07,-4.09251383849997e-07,0.0024273934285046483,0.0008495876999753659,0.1039999999999992,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6092078544426631,0.612765780835698,0.6992465194428189,0.6096612915889948,0.6992465194428189,0.6327203615775436,0.6989573476007784,1.0,,,,,,,,
20.9,baseline,baseline,arm,0,0.0022944882957683923,-4.376875469896649e-06,0.93899625632944106,0.4132646972673181,0.0,0.1983670546883127,7.938187404199763e-07,0.0004231772352755056,0.6120557230096467,0.021575321654841315,1.530375019188865e-06,-3.895847109943016e-05,0.021575356882665524,0.008103606219761571,0.09499999999999886,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6121316823963713,0.614830236376252,0.7000676961887958,0.6125889057029832,0.7000676961887958,0.6349046301661005,0.6992465194428189,1.0,,,,,,,,
21.002,baseline,baseline,arm,0,0.0040205431956514609,-1.6193082257558558e-06,0.93898833282407212,0.41488708718082595,0.0,0.19914580184679645,8.276956687035059e-07,0.00042612262111953365,0.6144598393444106,0.01692210686159866,2.70349729817724e-05,-7.768142518562876e-05,0.016922306755550422,0.01119013642568971,0.10200000000000031,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6146336545758815,0.6165670419575384,0.7006726307583018,0.6150940982219522,0.7006726307583018,0.6367418563784184,0.7000676961887958,1.0,,,,,,,,
21.079,baseline,baseline,arm,0,0.0053473247265894211,5.2176732962741648e-06,0.93897895190618552,0.41613604927124026,0.0,0.19974530365019533,8.547221419943715e-07,0.000428407899317407,0.616310615542895,0.017010019627409875,8.765360925679581e-05,-0.000120268178033377,0.017010670630951984,0.01322726925917092,0.0779999999999994,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.616563200452167,0.617876596705227,0.7010281326324633,0.6170261414813616,0.7010281326324633,0.6381235178178047,0.7006726307583018,1.0,,,,,,,,
21.182,baseline,baseline,arm,0,0.0070980504051053068,2.2191062827197375e-05,0.93896181509315957,0.4177865564948785,0.0,0.20053754711754168,8.917552563228866e-07,0.0004314544004394153,0.618756449768116,0.018048718335215073,0.00017498339722601014,-0.00017666817552528677,0.018050431141041393,0.014915246883096294,0.09700000000000131,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6190796284384793,0.6193995551513775,0.7013550980392131,0.6195458968182687,0.7013550980392131,0.6398450446118346,0.7010281326324633,1.0,,,,,,,,
21.281,baseline,baseline,arm,0,0.0082907154752852492,4.2763667563932976e-05,0.93894610445834092,0.4189125464059204,0.0,0.20107802227484178,9.179257722791982e-07,0.00043355631010749235,0.620425042916642,0.01146793336711492,0.00019781350708399767,-0.00015106379633311856,0.011470634078669549,0.013709389821996338,0.1039999999999992,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6207088975692817,0.6203362814028478,0.7013815838898096,0.6211774596622719,0.7013815838898096,0.6409010556310528,0.7013550980392131,1.0,,,,,,,,
21.381,baseline,baseline,arm,0,0.0095016165280758583,7.3997147024528216e-05,0.93892543353942703,0.42005706900354184,0.0,0.20162739312170008,9.453309470600284e-07,0.0004357215833384847,0.6221211290395274,0.012109010527905919,0.000312334794605948,-0.00020670918913889543,0.012114801594649926,0.013150785892675269,0.10000000000000142,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6223851545464048,0.6211775026343007,0.7011702286712366,0.6228560767993584,0.7011702286712366,0.6418972406628252,0.7013815838898096,1.0,,,,,,,,
21.481,baseline,baseline,arm,0,0.010732335808912226,0.00011762956152231712,0.93889775114525376,0.4212216736458852,0.0,0.20218640335002488,9.741090393832424e-07,0.00043796674760545663,0.6238470178525549,0.012431507887236015,0.00044073145957362447,-0.0002796201431644282,0.012442460367400512,0.012902063707744132,0.0990000000000002,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.624146138163324,0.6218598814726847,0.7006772415357121,0.6246195034796931,0.7006772415357121,0.6428256911628535,0.7011702286712366,1.0,,,,,,,,
21.581,baseline,baseline,arm,0,0.011885650946174924,0.00017145586088855,0.93886285810866177,0.4223142584175137,0.0,0.20271084404040657,1.0020080226316657e-06,0.00044013070083719015,0.6254662351667801,0.011889846775904378,0.0005549103027446817,-0.000359722026721529,0.01190822328204693,0.012553029628062385,0.09699999999999775,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6257050816722514,0.6222859486826813,0.6999135431676371,0.6261807956907265,0.6999135431676371,0.6435213423033241,0.7006772415357121,1.0,,,,,,,,
21.64,baseline,baseline,arm,0,0.012660826071683562,0.00021910186509457619,0.9388283135957689,0.42304927477118726,0.0,0.20306365189016987,1.0214061715603863e-06,0.0004416594542105938,0.6265556075217393,0.009228275303674299,0.0005672143357860286,-0.000411244201105532,0.009254832195997348,0.01139682759105822,0.08399999999999963,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6267613936410965,0.6223142665438144,0.6991958104336881,0.6272387589947176,0.6991958104336881,0.6438775574033291,0.6999135431676371,1.0,,,,,,,,
21.74,baseline,baseline,arm,0,0.013531122288941044,0.00028302261629204579,0.9387753562392922,0.42387511051933724,0.0,0.20346005304928186,1.0438989875566888e-06,0.0004434714430830965,0.6277796789106898,0.011603949563432659,0.0008522766826328956,-0.000706098086355995,0.011656611665574362,0.011484711202819116,0.07500000000000284,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6279783117707,0.622108073765179,0.6974293402047416,0.6284576245023881,0.6974293402047416,0.643993337560752,0.6991958104336881,1.0,,,,,,,,
21.84,baseline,baseline,arm,0,0.014429656731804037,0.00036280300058011568,0.93869500878870737,0.42472842826313034,0.0,0.20386964556630255,1.0681499136422925e-06,0.00044551608752738353,0.6290446580668739,0.008476740027009513,0.0007526451347931258,-0.0007579948168380121,0.008543778574306937,0.010451238703713017,0.1059999999999981,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6292163568572606,0.6215582602474039,0.6953002504826014,0.6296978495465861,0.6953002504826014,0.643943179283463,0.6974293402047416,1.0,,,,,,,,
21.942,baseline,baseline,arm,0,0.015301226644869817,0.0004557480310932326,0.93857698652621968,0.4255567936419543,0.0,0.20426726094813807,1.0930374464968414e-06,0.00044777228726654723,0.6302729199148054,0.008893570541487645,0.0009484186787052846,-0.0012043088008948457,0.00902471354971706,0.00994284211003273,0.09799999999999898,1.0,NORMAL,1.0,0,,0.0,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6304243389871138,0.6206277044494036,0.6926123667925399,0.6309082116936298,0.6926123667925399,0.6436431554806717,0.6953002504826014,1.0,,,,,,,,
