mpc_warning,critical_point_sequence_constraint_used,v_des_raw_norm,planning_clearance_margin,arm_handover_orientation_err,num_usable_saddles,success_goal,critical_point_hard_radius,mpc_segment_count,refined_waypoints_count,num_safe_maxima,num_morse_minima_corridors,num_graph_semantic_corridors,dq_delta_norm,used_saddle_count,reference_source,task_semantic_class,arm_handover_pose_reached,minor_violation,topology_constraint_used,predicted_clearance,num_raw_maxima,arm_min_home_return_dist,reject_by_unsafe_count,arm_min_hand_dist,gate_stop_count,footprint_slow_count,selected_saddle_value_bonus,stop_triggered,mandatory_saddle_reached,mpc_reject_interest_phi_count,num_raw_saddles,critic_version,selection_consistent,risk_p95,final_dist_to_goal,mandatory_topology_node_count,total_score,execution_corridor_id,raw_waypoints_count,execution_clearance,protected_saddle_count,num_morse_mix_corridors,min_head_dist,critical_point_soft_radius,mpc_failure_reason,success,mpc_feasibility_status,handover_complete,selection_override_reason,arm_reached_hand,arm_adp_soft_cost,critical_point_hard_violation_count,valid_risk_duration_s,critical_point_status,mode,adp_value_before_stop,candidate_manifold_feasible,arm_solver_success_rate,arm_v_adp_alignment,corridor_id,manifold_constraint_used,edge_astar_fail_count,replan_required,risk_exceed_s,selected_curvature_violation,num_usable_minima,selected_refinement_used,used_minima_count,module_chain_valid,arm_solver_fallback_count,path_length_m,selected_candidate_total_score,num_manifold_filtered_candidates,topology_hard_clearance,reached_goal_0p08,max_phi_max_point,arm_min_wait_dist,forbidden_hit_count,selected_max_curvature,handover_pose_reached,arm_hold_completed,arm_gripper_handover_event,selected_total_score,manifold_used,num_forbidden_cells,topology_sequence_valid,major_violation,selected_corridor_forbidden_hits,topology_sequence_constraint_used,adp_affects_control,goal_reached,critical_point_association_used,selected_raw_waypoints_count,candidate_corridor_count,selected_tracking_cost,arm_adp_control_enabled,arm_goal_reached,adp_affects_candidate_ranking,execution_status,max_arm_interest_gate_risk,min_person_dist,edge_clearance_reject_count,mean_phi_s,arm_interest_enabled,failed_constraint_type,high_risk_ratio,num_safe_saddles,critical_point_constraint_used,corridor_constraint_used,protected_saddle_ok,mean_speed_near_hand,max_phi_s,reached_completion_0p25,arm_interest_stop_count,selected_topology_diversity,max_gate_risk,num_topology_nodes,first_footprint_stop_time_s,mean_adp_value,arm_dls_adp_used,mean_phi_max_point,risk_exceed_pct,adp_path_enabled,reject_by_gradient_count,risk_field_used,arm_hold_duration_s,topology_used,num_candidate_corridors,candidate_min_clearance,run_id,adp_role,num_morse_saddle_corridors,major_violation_count,num_used_minima,J_social,path_adp_mean,footprint_gate_enabled,topology_graph_used,num_filtered_maxima,arm_solver_success_count,reject_by_clearance_count,max_speed,topology_fallback_used,arm_adp_grad_norm,arm_home_returned,clip_ratio,reference_path_count,topology_route_class,reached_goal_0p35,phase_stop,risk_mean_time,selected_corridor_label,dq_nominal_norm,controller_version,selected_rank,mean_arm_interest_gate_risk,min_chest_dist,selected_turn_violation,max_ee_speed,refinement_trace_valid,filtered_infeasible_candidates,num_used_saddles,critical_point_soft_violation_count,footprint_stop_reason,footprint_stop_count,candidate_ranking_used,arm_handover_pos_err,arm_task_complete,raw_saddle,mandatory_saddle_max_dist,mpc_used,first_stop_time_s,selected_refined_path_length,risk_per_meter,passed_critical_points,selected_corridor_type,selected_corridor_id,edge_forbidden_reject_count,target,selected_expected_progress,num_critical_saddles,arm_home_return_started,mean_phi_arm_max_point,num_raw_minima,reject_by_forbidden_count,num_topology_edges,mpc_reference_is_refined,morse_used,v_des_delta_norm,topology_rho,reject_by_degenerate_count,path_adp_delta,fallback_used,num_critical_minima,failure_stage,candidate_manifold_valid,max_phi_arm_max_point,topology_tracking_error,arm_handover_stable_time_s,topology_grid_resolution,adp_used,path_adp_max,arm_qp_used,current_topology_stage,critical_point_sequence_valid,soft_constraint_used,gate_slow_count,dq_adp_norm,failure_reason,mpc_reject_forbidden_count,arm_interest_gate_enabled,filtered_saddle,filtered_minima,candidate_corridor_used,neighbor_pair_attempt_count,num_filtered_minima,success_safe,transfer_intrusion_s,candidate_forbidden_reject_count,clearance_reject_count,success_goal_tolerance,used_saddle,safe_minima,arm_interest_slow_count,topology_enabled,tube_constraint_used,interest_enabled,num_critical_maxima,corridor_violation_count,critical_point_constraint_mode,topology_clearance_target,minor_violation_count,arm_handover_complete,num_forced_critical_corridors,variant,high_risk_duration,corridor_override_count,candidate_tube_valid,used_minima,manifold_override_count,arm_wait_reached,selected_refined_waypoints_count,arm_retreat_started,topology_infeasible_count,protected_saddle_max_dist,scenario,stop_reason,max_adp_value,final_path_source,candidate_max_risk,num_graph_direct_corridors,num_filtered_saddles,adp_enabled,raw_minima,v_des_adp_norm,num_safe_minima,duration_s,planning_clearance,topology_neighbor_k,mean_gate_scale,safe_saddle,mpc_reference_source,arm_handover_home_success,baseline_type,planner_source,baseline_planner
,0,0.0554979031417693,,0.0397,0.0,1,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_waypoints,,1,,0,,0.0,0.0001,0.0,0.0214,0,,0.0,0,1.0,0.0,0.0,disabled,0,2.9194,,0.0,0.0,,0.0,,0.0,0.0,0.5536,,,1,feasible,1,,1,0.0,,40.282,passed,baseline,,,1.0,0.0,,0,0.0,0,19.497,0.0,0.0,0.0,0.0,0,0.0,1.9972,0.0,,0.03,,,0.0398,,0.0,1,1,0,0.0,0,0.0,0,,0.0,,0,1,0,0.0,0.0,0.0,0.0,1,0,success,2.9303,,0.0,1.6477,1,,0.484,0.0,0,0,0.0,0.019,2.9303,,0,0.0,2.9303,0.0,,0.0,0.0,,48.4,0.0,0.0,0,2.059,0.0,0.0,,20260819_R001,disabled,0.0,,0.0,64.518,0.0,,0,0.0,370.0,0.0,,0.0,0.0,1,0.0,0.0,,,,1.6016,,0.15545299811594568,gate_v1,0,1.6647,0.3864,0.0,0.052,0,,0.0,,,,0,0.0217,1,0.0,0.0,0.0,,0.0,32.3035,,,,0.0,arm,0.0,0.0,1,1.6873,0.0,0.0,0.0,0,0,0.015497903141769298,2.0,0.0,0.0,0,0.0,none,,2.9305,0.0,1.057,0.04,0,0.0,0.0,,,,0,0.15545299811594568,,0.0,1,0.0,0.0,0,0.0,0.0,1,,0.0,0.0,,0.0,0.0,0,0.0,,,0.0,0.0,,0.08,,1,0.0,baseline,19.497,,,0.0,,1,0.0,1,,0.0,eldercare,,0.0,,,0.0,0.0,0,0.0,0.04,0.0,46.14,,12.0,1.0,0.0,raw_waypoints,1,direct,direct_connection,direct_connection
minor_manifold_violation,True,0.05488914890896337,,0.0473,4.0,1,1.0,3.0,4.0,0.0,0.0,0.0,0.003608816243924604,2.0,refined_waypoints,,1,True,True,0.003072701814788138,0.0,0.0001,10.0,0.0227,0,,4.3094164950354505,0,1.0,0.0,11.0,linear_adp_v1,1,2.8369,,2.0,7.220630109514497,arm_c0001,4.0,0.003072701814788138,2.0,0.0,0.5503,0.5,minor_manifold_violation,1,feasible_with_soft_violation,1,,1,0.0037803424725959415,0,57.423,passed,stsm,,,1.0,-0.8984461998480582,arm_c0001,True,0.0,False,26.161,0.0,1.0,0.0,0.0,1,0.0,2.8502,7.220630109514497,,0.03,,,0.0392,,19.596143431293413,1,1,0,7.220630109514497,1,0.0,True,False,0.0,True,1,1,True,4.0,1.0,4.795666624642597,1.0,1,0,success,2.8793,,0.0,1.6144,1,,0.4556,4.0,True,True,1.0,0.0121,2.8793,,0,1.1233756806236346,2.8793,7.0,,107.0989,1.0,,45.56,1.0,178.0,1,2.303,1.0,1.0,,20260819_R001,control_modifier,1.0,0,0.0,92.74,4.20364418289031,,1,0.0,546.0,0.0,,0.0,12.10422926830014,1,0.5563,350.0,,,,1.615,arm_c0001,0.09556223777135314,gate_v1,1,1.712,0.3909,0.0,0.0684,1,,2.0,0,,,1,0.0227,1,11.0,0.0,1.0,,1.1312927890065463,32.5375,[],morse_topology_graph,arm_c0001,0.0,arm,0.08734011374903994,4.0,1,1.721,9.0,0.0,21.0,1,1,0.030948793090778963,2.0,0.0,0.0,0,1.0,none,,2.8794,0.007623727384362291,1.001,0.04,1,16.81457673156124,0.0,1,True,True,0,0.09643882214514492,minor_manifold_violation,0.0,1,4.0,1.0,1,21.0,1.0,1,,0.0,0.0,,2.0,6.0,0,1.0,True,,0.0,0.0,soft_hard,0.08,3280,1,1.0,stsm,26.161,761,,0.0,3279,1,4.0,1,0,0.0,eldercare,,173.2938,Morse->Candidate->Ranking->Refinement->MPC,,0.0,4.0,1,9.0,0.024000000000000004,6.0,96.661,0.003072701814788138,12.0,1.0,4.0,refined_waypoints,1,,,
