t,mode,variant,target,phase,x,y,z,phi_prox,phi_close,phi_dir,phi_body,phi_env,phi_total,vx,vy,vz,speed_raw,speed_filtered,dt_used,velocity_valid,gate_state,gate_scale,gate_stop,gate_reason,adp_value,adp_delta,adp_enabled,selected_corridor_label,selected_corridor_type,corridor_id,execution_corridor_id,path_adp_mean,path_adp_max,path_adp_delta,adp_path_enabled,protected_saddle_count,protected_saddle_max_dist,protected_saddle_ok,mandatory_topology_node_count,mandatory_saddle_reached,mandatory_saddle_max_dist,corridor_violation_count,topology_tracking_error,mpc_segment_count,arm_adp_grad_norm,arm_adp_soft_cost,arm_v_adp_alignment,phi_ee_point,phi_wrist,phi_elbow,phi_object,phi_arm_max_point,phi_arm_mean_point,arm_interest_gate_risk,arm_interest_gate_scale,yaw,phi_center,phi_max_point,phi_mean_point,forbidden_hit,footprint_gate_risk,footprint_gate_scale,footprint_gate_stop
75.34,stsm,stsm,arm,0,7.4826998155604941e-05,-4.5133290441454639e-06,0.93899999600112705,0.41118240659452365,0.0,0.19736755516537136,7.522861213836969e-07,0.0004194307060108708,0.6089701447520273,3.48963308450743e-14,-3.3435511075830546e-18,0.0,3.4896331005253516e-14,9.901976582821563e-15,0.0379999999999967,1.0,NORMAL,1.0,0,,37.34836545199698,0.0,1,,,,,,,,,,,,,,,,,,,,,0.6089701447520274,0.6121637275419725,0.6989988181831137,0.6094232696325558,0.6989988181831137,0.6323889900274173,0.6989988181831129,1.0,,,,,,,,
75.398,stsm,stsm,arm,0,7.4826998154705663e-05,-4.5133290441453817e-06,0.93899999600112705,0.41118240659452276,0.0,0.1973675551653709,7.522861213836807e-07,0.0004194307060108693,0.6089701447520259,-2.1933608279041554e-14,2.003955997162074e-18,0.0,2.1933608370586903e-14,1.2404781516949804e-15,0.04100000000001103,1.0,NORMAL,1.0,0,,37.348365451997864,8.810729923425242e-13,1,,,,,,,,,,,,,,,,,,,,,0.608970144752026,0.612163727541971,0.6989988181831129,0.6094232696325544,0.6989988181831129,0.6323889900274161,0.6989988181831137,1.0,,,,,,,,
75.481,stsm,stsm,arm,0,0.00021349167089845797,-4.526344214673419e-06,0.93899996810195696,0.4113123551837494,0.0,0.1974299304881997,7.548158975675258e-07,0.00041966345310835647,0.6091627039409551,0.0015580300308287013,-1.4623787110154453e-07,-3.134738211828935e-07,0.0015580300692269824,0.0005453105242286374,0.08899999999999864,1.0,NORMAL,1.0,0,,37.34836545199789,2.842170943040401e-14,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.0038555916057519822,-0.577344165166527,0.6091632847286762,0.6127189519057566,0.6992280807833169,0.6096166642844534,0.6992280807833169,0.6326817454255508,0.6989988181831129,1.0,,,,,,,,
75.54,stsm,stsm,arm,0,0.0017984270990971463,-4.6294736249354889e-06,0.93899771351555061,0.4127989389140807,0.0,0.19814349067875872,7.843421222203757e-07,0.0004223359943684845,0.6113655499293301,0.022323034199982168,-1.4525269050996186e-06,-3.1754738117567624e-05,0.022323056832942948,0.008167521479260401,0.07099999999999795,1.0,NORMAL,1.0,0,,37.38236227740056,0.03399682540266724,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.003849423104673108,-0.57597622391179,0.6114484776245944,0.6139763307088565,0.6997403034239944,0.61190478088325,0.6997403034239944,0.6342674731601738,0.6992280807833169,1.0,,,,,,,,
75.62,stsm,stsm,arm,0,0.0031552729277762766,-3.1915693500693907e-06,0.93899287133213605,0.4140734401185465,0.0,0.19875525125690233,8.105357283015091e-07,0.00042464246374243126,0.6132541443749195,0.016347540104568146,1.7324147889953324e-05,-5.8339559211642255e-05,0.0163476533820831,0.011030559240164606,0.08299999999999841,1.0,NORMAL,1.0,0,,37.636953697905,0.2545914205044397,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.003638880954681527,-0.5743042982119233,0.6134310940423804,0.6153920568624197,0.7002626582984568,0.6138899195535468,0.7002626582984568,0.6357439321892009,0.6997403034239944,1.0,,,,,,,,
75.699,stsm,stsm,arm,0,0.004260124785699578,4.153333449412299e-07,0.93898683333899591,0.41511249696617475,0.0,0.19925399854376388,8.325117785305148e-07,0.00042653402073847393,0.6147938620424557,0.014164767409272559,4.624234224372415e-05,-7.741016846333007e-05,0.014165054410315117,0.01212760869871172,0.07800000000000296,1.0,NORMAL,1.0,0,,37.85806760186318,0.22111390395818376,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.003467306913359565,-0.5716368376281156,0.615008910831978,0.6164972423976017,0.7006308007314319,0.6154698041256548,0.7006308007314319,0.6369016895216666,0.7002626582984568,1.0,,,,,,,,
75.819,stsm,stsm,arm,0,0.0057562574128945873,1.2324935768494054e-05,0.93897521242422077,0.41652132233750483,0.0,0.1999302347220023,8.632343797855962e-07,0.00042911775306328037,0.6168815380469502,0.014961326271950943,0.000119096024235535,-0.00011620914775135154,0.014962251576710616,0.013119645090375715,0.09999999999999432,1.0,NORMAL,1.0,0,,38.03454557512045,0.17647797325726344,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.003332111073792261,-0.5684501033297212,0.617139470568453,0.6182194475233324,0.7010380665471098,0.6176031869092359,0.7010380665471098,0.6385000428870328,0.7006308007314319,1.0,,,,,,,,
75.9,stsm,stsm,arm,0,0.0073006248556916299,3.4887109144657633e-05,0.93895844271983742,0.4179777145514516,0.0,0.20062930298469675,8.961618484175815e-07,0.0004318159500223503,0.6190397296480191,0.015443674427969109,0.00022562173376161656,-0.00016769704383355578,0.015446232786746518,0.01393371984537174,0.10000000000000853,1.0,NORMAL,1.0,0,,38.262489053311626,0.22794347819117888,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.00315512752139346,-0.5620474947368191,0.6193350751434231,0.6192462281564932,0.7011474751848974,0.6198017374436651,0.7011474751848974,0.6398826289821197,0.7010380665471098,1.0,,,,,,,,
76.021,stsm,stsm,arm,0,0.0086071242558416299,6.6103288306549709e-05,0.93893911304746291,0.41921148093001936,0.0,0.2012215108464093,9.250412610543242e-07,0.0004341324096317615,0.6208680492273215,0.013064994001500742,0.0003121617916189385,-0.0001932967237450288,0.013070152136329847,0.013631016636290303,0.09999999999999432,1.0,NORMAL,1.0,0,,38.47873725212352,0.21624819881189694,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.0029760900093969,-0.5550930334781154,0.6211530995042756,0.6204108675168386,0.7010168916966041,0.6216222882115299,0.7010168916966041,0.6410507867323121,0.7011474751848974,1.0,,,,,,,,
76.122,stsm,stsm,arm,0,0.0097016701324839638,0.00010131995757204352,0.93891865488718518,0.42024627941634285,0.0,0.20171821411984456,9.499949530813421e-07,0.0004361013995095573,0.62240154493065,0.010626658996528088,0.0003419094103446186,-0.00019862291531784086,0.010634013096468468,0.012581507515289355,0.10299999999999443,1.0,NORMAL,1.0,0,,38.63809266272597,0.15935541060244418,1,,,,,,,,,,,,,,,,,,13.856406460551018,0.0028321700469007265,-0.5421066231930017,0.6226500321479064,0.6210733167280412,0.7007566155108108,0.6231213658696538,0.7007566155108108,0.6419003325641031,0.7010168916966041,1.0,,,,,,,,
