robot,corridor_id,rollout_mode,solve_index,horizon_step,global_step,tracking_cost,control_cost,smoothness_cost,risk_cost,topology_cost,corridor_cost,manifold_cost,safety_violation_cost,constraint_violation_cost,handover_cost,step_total_cost,cumulative_total_cost,phase,task_state,state_transition,task_cost,task_optimization_cost,risk_weight,tracking_weight,smoothness_weight,task_weight,feasibility_status,step,ref_x,ref_y,ref_z,pred_x,pred_y,pred_z,tracking_error,control_norm,control_delta,risk,risk_value,risk_query_valid,risk_query_source,safety_violation,risk_threshold,risk_sanity_status,horizon,dt,risk_exceeded,constraint_violation,topology_class,distance_to_corridor,corridor_violation,corridor_constraint_status,distance_to_manifold,manifold_clearance,minimum_clearance,clearance_threshold,actual_clearance,progress,boundary_distance,manifold_violation,manifold_constraint_status,manifold_constraint_mode,risk_constraint_violation,soft_constraint_used,minor_violation,major_violation,clearance_constraint_violation,nearest_critical_point,critical_point_target,critical_point_distance,critical_sequence_state,topology_sequence_valid,critical_point_status,current_topology_stage,corridor_override,manifold_override,critical_point_constraint_status,topology_class_constraint_status,topology_consistency_cost,step_cost
arm,arm_c0001,rolling_window,10,0,10,0.15653194160178513,0.01166399999999999,1.4910572686292555e-06,1.4701232558624056,0.0,0.0,0.04887827967893039,0.0,15.254214742799164,0.0064,155.84765072514654,2788.0133491006873,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,11,0,11,0.15289376809270008,0.01166399999999999,1.9639278614709403e-06,1.4933590375413945,0.0,1.925929944387236e-34,0.05062438688923336,0.0,14.8102732160464,0.006400000000000003,151.46388285780915,2939.4772319584963,approach,approach,handover->approach,0.006400000000000003,0.006400000000000003,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,12,0,12,0.15004757217900228,0.011664000000000002,2.0000142297922894e-06,1.5157491583430613,0.0,0.0,0.05216494751527933,0.0,14.456445542640305,0.0064,147.97846775875522,3087.4556997172517,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,13,0,13,0.14785495313040997,0.011663999999999999,1.8802051583157107e-06,1.536814226207063,0.0,0.0,0.05349280301044176,0.0,14.1797241683307,0.0064,145.26025704975558,3232.7159567670074,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,14,0,14,0.14618632462738448,0.011663999999999994,1.6623156079154058e-06,1.5562613895281734,0.0,0.0,0.054613029167105434,0.0,13.966598015287936,0.0064,143.17353400279165,3375.889490769799,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,15,0,15,0.14492848643352985,0.011663999999999994,1.402159375191084e-06,1.5739483313263651,0.0,0.0,0.055538936313994106,0.0,13.804435144972846,0.0064,141.59174297612128,3517.4812337459202,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,16,0,16,0.14398721005402315,0.011663999999999985,1.1411161815362304e-06,1.5898449723240513,0.0,0.0,0.0562885150931697,0.0,13.68221200106679,0.0064,140.40467995006017,3657.8859136959804,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,17,0,17,0.14328672174243223,0.01166399999999999,9.038652393054048e-07,1.6039989818511442,0.0,0.0,0.056881689849418944,0.0,13.590759037519373,0.006399999999999996,139.52085874353548,3797.406772439516,approach,approach,handover->approach,0.006399999999999996,0.006399999999999996,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,18,0,18,0.142767596262429,0.011663999999999976,7.015284118551311e-07,1.616507692951067,0.0,1.925929944387236e-34,0.05733842590244761,0.0,13.522706350324421,0.006400000000000003,138.86689574614874,3936.2736681856645,approach,approach,handover->approach,0.006400000000000003,0.006400000000000003,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,19,0,19,0.14238407490675992,0.011663999999999999,5.362786141244666e-07,1.627496798467182,0.0,0.0,0.05767756683662829,0.0,13.47227627611426,0.0064,138.38538324891232,4074.6590514345767,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
