robot,corridor_id,global_step,x,y,z,theta,joint_state,control_norm,tracking_error,risk_value,phase,task_state,state_transition,risk_weight,tracking_weight,smoothness_weight,task_weight,feasibility_status
arm,arm_c0001,0,0.26600392688593777,-5.108595860269618e-07,0.3724173115529868,,"[0.26600392688593777, -5.108595860269618e-07, 0.3724173115529868]",0.0,0.33347874500493657,1.3955490389938066,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,1,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,"[0.26082936686519104, -0.0016408106481501667, 0.3640188982983698]",0.10000000000000007,0.4841562848238852,1.4000416763768437,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,2,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,"[0.2552408420427846, -0.003412334419799435, 0.35494861198338346]",0.108,0.4733562848238852,1.4048337577680494,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,3,0.24965231722037812,-0.005183858191448704,0.3458783256683971,,"[0.24965231722037812, -0.005183858191448704, 0.3458783256683971]",0.108,0.4625562848238851,1.4094665798948198,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,4,0.24406379239797166,-0.006955381963097972,0.33680803935341075,,"[0.24406379239797166, -0.006955381963097972, 0.33680803935341075]",0.108,0.45175628482388513,1.4137672034033917,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,5,0.2384752675755652,-0.00872690573474724,0.3277377530384244,,"[0.2384752675755652, -0.00872690573474724, 0.3277377530384244]",0.108,0.4409562848238851,1.417585555999323,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,6,0.23288674275315874,-0.01049842950639651,0.31866746672343804,,"[0.23288674275315874, -0.01049842950639651, 0.31866746672343804]",0.108,0.4301562848238851,1.4208581712842918,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,7,0.22729821793075228,-0.01226995327804578,0.3095971804084517,,"[0.22729821793075228, -0.01226995327804578, 0.3095971804084517]",0.108,0.41935628482388504,1.4235454824781306,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,8,0.22170969310834582,-0.014041477049695049,0.30052689409346534,,"[0.22170969310834582, -0.014041477049695049, 0.30052689409346534]",0.108,0.40855628482388506,1.4256317158048466,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,9,0.22177567186146702,-0.01474700278755048,0.2920325414303497,,"[0.22177567186146702, -0.01474700278755048, 0.2920325414303497]",0.108,0.4013664443190065,1.4467310264194104,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,10,0.2230097669737264,-0.01516714277992988,0.28442881512365503,,"[0.2230097669737264, -0.01516714277992988, 0.28442881512365503]",0.10799999999999996,0.39564117783894176,1.4701232558624056,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,11,0.22472681817554563,-0.015424137382558514,0.27772795285505625,,"[0.22472681817554563, -0.015424137382558514, 0.27772795285505625]",0.10799999999999996,0.3910163271433817,1.4933590375413945,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,12,0.22672439812494413,-0.015555584197131612,0.2719160193324689,,"[0.22672439812494413, -0.015555584197131612, 0.2719160193324689]",0.10800000000000001,0.38735974517107774,1.5157491583430613,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,13,0.2288418260712467,-0.015595301018247338,0.2669348995272122,,"[0.2288418260712467, -0.015595301018247338, 0.2669348995272122]",0.108,0.38451911933011856,1.536814226207063,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,14,0.23096093752700453,-0.015571517674854148,0.2627020685539863,,"[0.23096093752700453, -0.015571517674854148, 0.2627020685539863]",0.10799999999999997,0.3823432026692569,1.5562613895281734,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,15,0.23300120426625215,-0.015506480164733811,0.2591256750131791,,"[0.23300120426625215, -0.015506480164733811, 0.2591256750131791]",0.10799999999999997,0.38069474179916096,1.5739483313263651,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,16,0.2349124524397272,-0.015416912826159633,0.2561145815617554,,"[0.2349124524397272, -0.015416912826159633, 0.2561145815617554]",0.10799999999999993,0.3794564666124734,1.5898449723240513,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,17,0.23666734319311244,-0.015314880710632311,0.2535841728437368,,"[0.23666734319311244, -0.015314880710632311, 0.2535841728437368]",0.10799999999999996,0.37853232588833446,1.6039989818511442,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,18,0.2382547516440768,-0.015208748440570718,0.25145910717408665,,"[0.2382547516440768, -0.015208748440570718, 0.25145910717408665]",0.10799999999999989,0.3778459954299225,1.616507692951067,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,19,0.23967445648688834,-0.015104069219998332,0.24967410315905764,,"[0.23967445648688834, -0.015104069219998332, 0.24967410315905764]",0.108,0.37733814398594784,1.627496798467182,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,20,0.2409331408460849,-0.015004333369536913,0.24817359620977586,,"[0.2409331408460849, -0.015004333369536913, 0.24817359620977586]",0.10799999999999998,0.37696338242383376,1.6371050762608765,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,21,0.24204151914956457,-0.01491156187015023,0.2469108314238922,,"[0.24204151914956457, -0.01491156187015023, 0.2469108314238922]",0.108,0.37668739145155755,1.645473982499962,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,22,0.2430123522440507,-0.014826758125386577,0.24584674297205075,,"[0.2430123522440507, -0.014826758125386577, 0.24584674297205075]",0.10799999999999997,0.3764844430946625,1.652740936329339,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,23,0.24385912608090912,-0.014750241647551624,0.2449488179333125,,"[0.24385912608090912, -0.014750241647551624, 0.2449488179333125]",0.108,0.37633537055859223,1.659035278253143,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,24,0.24459520747949023,-0.014681888763922768,0.24419004472244163,,"[0.24459520747949023, -0.014681888763922768, 0.24419004472244163]",0.10799999999999997,0.3762259604196217,1.6644760940847019,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
arm,arm_c0001,25,0.2452333328825781,-0.014621302743909362,0.24354798782221798,,"[0.2452333328825781, -0.014621302743909362, 0.24354798782221798]",0.108,0.3761457079000424,1.6691712962975855,approach,,,1.8,1.0,,1.0,feasible_with_soft_violation
